time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
74,1,2401.0,50,18,36,1,FULL
106,2,2402.0,50,16,32,1,FULL
139,3,2403.0,50,11,22,1,FULL
172,4,2404.0,50,12,24,1,FULL
204,5,2405.0,50,4,8,0,FULL
237,6,2406.0,50,1,2,0,FULL
301,8,2408.0,50,3,6,0,FULL
333,9,2409.0,50,4,8,0,FULL
365,10,2410.0,50,1,2,0,FULL
398,11,2411.0,50,4,8,0,FULL
431,12,2412.0,50,1,2,0,FULL
463,13,2413.0,50,1,2,0,FULL
495,14,2414.0,50,5,10,0,FULL
622,18,2418.0,50,4,8,0,FULL
655,19,2419.0,50,4,8,0,FULL
688,20,2420.0,50,1,2,0,FULL
783,23,2423.0,50,19,38,1,FULL
847,25,2425.0,50,12,24,1,FULL
880,26,2426.0,50,13,26,1,FULL
912,27,2427.0,50,18,36,1,FULL
945,28,2428.0,50,19,38,1,FULL
1009,30,2430.0,50,1,2,0,FULL
1230,37,2437.0,50,5,10,0,FULL
1294,39,2439.0,50,1,2,0,FULL
1327,40,2440.0,50,4,8,0,FULL
1485,45,2445.0,50,1,2,0,FULL
1581,48,2448.0,50,1,2,0,FULL
1645,50,2450.0,50,2,4,0,FULL
1677,51,2451.0,50,1,2,0,FULL
1710,52,2452.0,50,1,2,0,FULL
1742,53,2453.0,50,1,2,0,FULL
1995,61,2461.0,50,1,2,0,FULL
2499,77,2477.0,50,18,36,1,FULL
2564,79,2479.0,50,10,20,1,FULL
2596,80,2480.0,50,13,26,1,FULL
2629,81,2481.0,50,18,36,1,FULL
2662,82,2482.0,50,19,38,1,FULL
2694,83,2483.0,50,1,2,0,FULL
2758,85,2485.0,50,1,2,0,FULL
2791,86,2486.0,50,1,2,0,FULL
3483,108,2508.0,50,1,2,0,FULL
5051,0,2400.0,50,1,2,0,FULL
5084,1,2401.0,50,18,36,1,FULL
5116,2,2402.0,50,18,36,1,FULL
5148,3,2403.0,50,15,30,1,FULL
5181,4,2404.0,50,10,20,1,FULL
5214,5,2405.0,50,4,8,0,FULL
5278,7,2407.0,50,2,4,0,FULL
5310,8,2408.0,50,3,6,0,FULL
5374,10,2410.0,50,2,4,0,FULL
5438,12,2412.0,50,4,8,0,FULL
5471,13,2413.0,50,2,4,0,FULL
5504,14,2414.0,50,7,14,0,FULL
5536,15,2415.0,50,5,10,0,FULL
5569,16,2416.0,50,1,2,0,FULL
5601,17,2417.0,50,1,2,0,FULL
5634,18,2418.0,50,4,8,0,FULL
5666,19,2419.0,50,1,2,0,FULL
5699,20,2420.0,50,1,2,0,FULL
5794,23,2423.0,50,15,30,1,FULL
5859,25,2425.0,50,18,36,1,FULL
5892,26,2426.0,50,15,30,1,FULL
5923,27,2427.0,50,11,22,1,FULL
5956,28,2428.0,50,15,30,1,FULL
6178,35,2435.0,50,1,2,0,FULL
6242,37,2437.0,50,2,4,0,FULL
6306,39,2439.0,50,4,8,0,FULL
6558,47,2447.0,50,1,2,0,FULL
6623,49,2449.0,50,3,6,0,FULL
6656,50,2450.0,50,1,2,0,FULL
6687,51,2451.0,50,1,2,0,FULL
6720,52,2452.0,50,2,4,0,FULL
7507,77,2477.0,50,20,40,1,FULL
7572,79,2479.0,50,14,28,1,FULL
7605,80,2480.0,50,11,22,1,FULL
7638,81,2481.0,50,14,28,1,FULL
7669,82,2482.0,50,19,38,1,FULL
7702,83,2483.0,50,1,2,0,FULL
7735,84,2484.0,50,1,2,0,FULL
7768,85,2485.0,50,1,2,0,FULL
8712,115,2515.0,50,1,2,0,FULL
10091,1,2401.0,50,16,32,1,FULL
10123,2,2402.0,50,17,34,1,FULL
10156,3,2403.0,50,19,38,1,FULL
10188,4,2404.0,50,13,26,1,FULL
10285,7,2407.0,50,1,2,0,FULL
10316,8,2408.0,50,4,8,0,FULL
10349,9,2409.0,50,3,6,0,FULL
10382,10,2410.0,50,2,4,0,FULL
10445,12,2412.0,50,3,6,0,FULL
10478,13,2413.0,50,1,2,0,FULL
10511,14,2414.0,50,1,2,0,FULL
10544,15,2415.0,50,3,6,0,FULL
10608,17,2417.0,50,2,4,0,FULL
10640,18,2418.0,50,1,2,0,FULL
10673,19,2419.0,50,1,2,0,FULL
10800,23,2423.0,50,17,34,1,FULL
10864,25,2425.0,50,18,36,1,FULL
10897,26,2426.0,50,13,26,1,FULL
10930,27,2427.0,50,11,22,1,FULL
10962,28,2428.0,50,15,30,1,FULL
11026,30,2430.0,50,1,2,0,FULL
11279,38,2438.0,50,1,2,0,FULL
11374,41,2441.0,50,4,8,0,FULL
11407,42,2442.0,50,1,2,0,FULL
11440,43,2443.0,50,1,2,0,FULL
11567,47,2447.0,50,1,2,0,FULL
11631,49,2449.0,50,1,2,0,FULL
11664,50,2450.0,50,2,4,0,FULL
11727,52,2452.0,50,2,4,0,FULL
11760,53,2453.0,50,1,2,0,FULL
12170,66,2466.0,50,1,2,0,FULL
12328,71,2471.0,50,1,2,0,FULL
12518,77,2477.0,50,12,24,1,FULL
12582,79,2479.0,50,20,40,1,FULL
12615,80,2480.0,50,16,32,1,FULL
12648,81,2481.0,50,10,20,1,FULL
12681,82,2482.0,50,11,22,1,FULL
12776,85,2485.0,50,1,2,0,FULL
15098,1,2401.0,50,13,26,1,FULL
15131,2,2402.0,50,18,36,1,FULL
15164,3,2403.0,50,18,36,1,FULL
15196,4,2404.0,50,15,30,1,FULL
15292,7,2407.0,50,2,4,0,FULL
15355,9,2409.0,50,5,10,0,FULL
15420,11,2411.0,50,1,2,0,FULL
15453,12,2412.0,50,3,6,0,FULL
15548,15,2415.0,50,4,8,0,FULL
15581,16,2416.0,50,1,2,0,FULL
15613,17,2417.0,50,1,2,0,FULL
15645,18,2418.0,50,1,2,0,FULL
15678,19,2419.0,50,3,6,0,FULL
15805,23,2423.0,50,17,34,1,FULL
15869,25,2425.0,50,19,38,1,FULL
15902,26,2426.0,50,13,26,1,FULL
15935,27,2427.0,50,10,20,1,FULL
15968,28,2428.0,50,15,30,1,FULL
16221,36,2436.0,50,1,2,0,FULL
16284,38,2438.0,50,4,8,0,FULL
16380,41,2441.0,50,3,6,0,FULL
16570,47,2447.0,50,1,2,0,FULL
16633,49,2449.0,50,2,4,0,FULL
16698,51,2451.0,50,1,2,0,FULL
16731,52,2452.0,50,2,4,0,FULL
16794,54,2454.0,50,1,2,0,FULL
16890,57,2457.0,50,1,2,0,FULL
16923,58,2458.0,50,1,2,0,FULL
16987,60,2460.0,50,1,2,0,FULL
17460,75,2475.0,50,1,2,0,FULL
17523,77,2477.0,50,13,26,1,FULL
17588,79,2479.0,50,18,36,1,FULL
17620,80,2480.0,50,14,28,1,FULL
17653,81,2481.0,50,10,20,1,FULL
17686,82,2482.0,50,14,28,1,FULL
17751,84,2484.0,50,2,4,0,FULL
17878,88,2488.0,50,1,2,0,FULL
18035,93,2493.0,50,1,2,0,FULL
18477,107,2507.0,50,1,2,0,FULL
18918,121,2521.0,50,1,2,0,FULL
20109,1,2401.0,50,10,20,1,FULL
20141,2,2402.0,50,13,26,1,FULL
20173,3,2403.0,50,18,36,1,FULL
20206,4,2404.0,50,17,34,1,FULL
20239,5,2405.0,50,1,2,0,FULL
20272,6,2406.0,50,4,8,0,FULL
20335,8,2408.0,50,2,4,0,FULL
20368,9,2409.0,50,4,8,0,FULL
20432,11,2411.0,50,11,22,1,FULL
20465,12,2412.0,50,5,10,0,FULL
20529,14,2414.0,50,1,2,0,FULL
20561,15,2415.0,50,1,2,0,FULL
20594,16,2416.0,50,3,6,0,FULL
20627,17,2417.0,50,1,2,0,FULL
20660,18,2418.0,50,7,14,0,FULL
20691,19,2419.0,50,4,8,0,FULL
20724,20,2420.0,50,2,4,0,FULL
20820,23,2423.0,50,16,32,1,FULL
20884,25,2425.0,50,15,30,1,FULL
20917,26,2426.0,50,20,40,1,FULL
20950,27,2427.0,50,21,42,1,FULL
20982,28,2428.0,50,16,32,1,FULL
21203,35,2435.0,50,4,8,0,FULL
21300,38,2438.0,50,4,8,0,FULL
21489,44,2444.0,50,5,10,0,FULL
21584,47,2447.0,50,1,2,0,FULL
