time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
74,1,2401.0,50,1,2,0,FULL
169,4,2404.0,50,3,6,0,FULL
296,8,2408.0,50,5,10,0,FULL
328,9,2409.0,50,1,2,0,FULL
393,11,2411.0,50,5,10,0,FULL
425,12,2412.0,50,1,2,0,FULL
489,14,2414.0,50,5,10,0,FULL
522,15,2415.0,50,3,6,0,FULL
585,17,2417.0,50,5,10,0,FULL
618,18,2418.0,50,1,2,0,FULL
683,20,2420.0,50,5,10,0,FULL
809,24,2424.0,50,1,2,0,FULL
841,25,2425.0,50,1,2,0,FULL
2478,77,2477.0,50,1,2,0,FULL
2510,78,2478.0,50,1,2,0,FULL
2606,81,2481.0,50,1,2,0,FULL
5211,6,2406.0,50,4,8,0,FULL
5306,9,2409.0,50,4,8,0,FULL
5402,12,2412.0,50,3,6,0,FULL
5497,15,2415.0,50,3,6,0,FULL
5624,19,2419.0,50,3,6,0,FULL
7449,77,2477.0,50,1,2,0,FULL
7544,80,2480.0,50,1,2,0,FULL
10055,2,2402.0,50,1,2,0,FULL
10150,5,2405.0,50,1,2,0,FULL
10183,6,2406.0,50,1,2,0,FULL
10216,7,2407.0,50,5,10,0,FULL
10249,8,2408.0,50,1,2,0,FULL
10312,10,2410.0,50,5,10,0,FULL
10345,11,2411.0,50,1,2,0,FULL
10409,13,2413.0,50,3,6,0,FULL
10441,14,2414.0,50,1,2,0,FULL
10537,17,2417.0,50,4,8,0,FULL
10601,19,2419.0,50,2,4,0,FULL
10665,21,2421.0,50,1,2,0,FULL
10792,25,2425.0,50,1,2,0,FULL
10856,27,2427.0,50,2,4,0,FULL
10889,28,2428.0,50,1,2,0,FULL
10953,30,2430.0,50,1,2,0,FULL
10986,31,2431.0,50,1,2,0,FULL
11081,34,2434.0,50,1,2,0,FULL
11114,35,2435.0,50,1,2,0,FULL
11335,42,2442.0,50,1,2,0,FULL
12469,78,2478.0,50,1,2,0,FULL
12564,81,2481.0,50,1,2,0,FULL
15169,6,2406.0,50,1,2,0,FULL
15233,8,2408.0,50,4,8,0,FULL
15329,11,2411.0,50,4,8,0,FULL
15455,15,2415.0,50,2,4,0,FULL
15551,18,2418.0,50,4,8,0,FULL
15804,26,2426.0,50,1,2,0,FULL
17471,79,2479.0,50,1,2,0,FULL
17504,80,2480.0,50,1,2,0,FULL
19983,1,2401.0,50,1,2,0,FULL
20016,2,2402.0,50,1,2,0,FULL
20048,3,2403.0,50,4,8,0,FULL
20081,4,2404.0,50,1,2,0,FULL
20114,5,2405.0,50,1,2,0,FULL
20146,6,2406.0,50,5,10,0,FULL
20210,8,2408.0,50,1,2,0,FULL
20243,9,2409.0,50,5,10,0,FULL
20370,13,2413.0,50,4,8,0,FULL
20433,15,2415.0,50,1,2,0,FULL
20466,16,2416.0,50,5,10,0,FULL
20499,17,2417.0,50,1,2,0,FULL
20563,19,2419.0,50,4,8,0,FULL
20689,23,2423.0,50,1,2,0,FULL
20754,25,2425.0,50,1,2,0,FULL
20787,26,2426.0,50,1,2,0,FULL
20819,27,2427.0,50,1,2,0,FULL
21921,62,2462.0,50,1,2,0,FULL
22048,66,2466.0,50,1,2,0,FULL
22175,70,2470.0,50,1,2,0,FULL
22302,74,2474.0,50,1,2,0,FULL
22460,79,2479.0,50,1,2,0,FULL
23625,116,2516.0,50,1,2,0,FULL
23784,121,2521.0,50,1,2,0,FULL
24942,0,2400.0,50,1,2,0,FULL
24975,1,2401.0,50,3,6,0,FULL
25007,2,2402.0,50,3,6,0,FULL
25039,3,2403.0,50,3,6,0,FULL
25072,4,2404.0,50,7,14,0,FULL
25105,5,2405.0,50,5,10,0,FULL
25138,6,2406.0,50,1,2,0,FULL
25169,7,2407.0,50,6,12,0,FULL
25202,8,2408.0,50,2,4,0,FULL
25235,9,2409.0,50,2,4,0,FULL
25268,10,2410.0,50,6,12,0,FULL
25300,11,2411.0,50,4,8,0,FULL
25333,12,2412.0,50,3,6,0,FULL
25366,13,2413.0,50,9,18,0,FULL
25398,14,2414.0,50,4,8,0,FULL
25431,15,2415.0,50,1,2,0,FULL
25463,16,2416.0,50,6,12,0,FULL
25496,17,2417.0,50,3,6,0,FULL
25529,18,2418.0,50,3,6,0,FULL
25562,19,2419.0,50,3,6,0,FULL
25594,20,2420.0,50,3,6,0,FULL
25626,21,2421.0,50,1,2,0,FULL
25659,22,2422.0,50,1,2,0,FULL
25692,23,2423.0,50,1,2,0,FULL
25724,24,2424.0,50,2,4,0,FULL
25757,25,2425.0,50,2,4,0,FULL
