time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
43,0,2400.0,50,3,6,0,FULL
138,3,2403.0,50,4,8,0,FULL
171,4,2404.0,50,1,2,0,FULL
202,5,2405.0,50,7,14,0,FULL
235,6,2406.0,50,6,12,0,FULL
268,7,2407.0,50,13,26,1,FULL
301,8,2408.0,50,2,4,0,FULL
333,9,2409.0,50,10,20,1,FULL
365,10,2410.0,50,10,20,1,FULL
398,11,2411.0,50,8,16,0,FULL
431,12,2412.0,50,4,8,0,FULL
463,13,2413.0,50,5,10,0,FULL
496,14,2414.0,50,12,24,1,FULL
528,15,2415.0,50,10,20,1,FULL
561,16,2416.0,50,1,2,0,FULL
593,17,2417.0,50,4,8,0,FULL
626,18,2418.0,50,6,12,0,FULL
659,19,2419.0,50,1,2,0,FULL
691,20,2420.0,50,1,2,0,FULL
723,21,2421.0,50,3,6,0,FULL
756,22,2422.0,50,2,4,0,FULL
789,23,2423.0,50,13,26,1,FULL
821,24,2424.0,50,5,10,0,FULL
854,25,2425.0,50,2,4,0,FULL
886,26,2426.0,50,4,8,0,FULL
919,27,2427.0,50,4,8,0,FULL
983,29,2429.0,50,2,4,0,FULL
1015,30,2430.0,50,6,12,0,FULL
1048,31,2431.0,50,4,8,0,FULL
1081,32,2432.0,50,3,6,0,FULL
1113,33,2433.0,50,3,6,0,FULL
1145,34,2434.0,50,3,6,0,FULL
1210,36,2436.0,50,5,10,0,FULL
1243,37,2437.0,50,6,12,0,FULL
1274,38,2438.0,50,2,4,0,FULL
1307,39,2439.0,50,6,12,0,FULL
1340,40,2440.0,50,5,10,0,FULL
1404,42,2442.0,50,5,10,0,FULL
1437,43,2443.0,50,5,10,0,FULL
1469,44,2444.0,50,2,4,0,FULL
1502,45,2445.0,50,13,26,1,FULL
1534,46,2446.0,50,29,58,1,FULL
1567,47,2447.0,50,17,34,1,FULL
1600,48,2448.0,50,17,34,1,FULL
1633,49,2449.0,50,8,16,0,FULL
1666,50,2450.0,50,9,18,0,FULL
1697,51,2451.0,50,2,4,0,FULL
1730,52,2452.0,50,36,72,1,FULL
1763,53,2453.0,50,21,42,1,FULL
1796,54,2454.0,50,25,50,1,FULL
1828,55,2455.0,50,33,66,1,FULL
1861,56,2456.0,50,26,52,1,FULL
1894,57,2457.0,50,33,66,1,FULL
1927,58,2458.0,50,30,60,1,FULL
1959,59,2459.0,50,31,62,1,FULL
1991,60,2460.0,50,43,86,1,FULL
2024,61,2461.0,50,30,60,1,FULL
2057,62,2462.0,50,34,68,1,FULL
2089,63,2463.0,50,39,78,1,FULL
2122,64,2464.0,50,18,36,1,FULL
2155,65,2465.0,50,29,58,1,FULL
2188,66,2466.0,50,27,54,1,FULL
2221,67,2467.0,50,28,56,1,FULL
2253,68,2468.0,50,16,32,1,FULL
2286,69,2469.0,50,37,74,1,FULL
2318,70,2470.0,50,43,86,1,FULL
2351,71,2471.0,50,35,70,1,FULL
2383,72,2472.0,50,37,74,1,FULL
2416,73,2473.0,50,9,18,0,FULL
