time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
6074,34,2434.0,50,1,2,0,FULL
10032,2,2402.0,50,1,2,0,FULL
10661,22,2422.0,50,1,2,0,FULL
10883,29,2429.0,50,1,2,0,FULL
12456,79,2479.0,50,1,2,0,FULL
12552,82,2482.0,50,1,2,0,FULL
15063,4,2404.0,50,1,2,0,FULL
15787,27,2427.0,50,1,2,0,FULL
15883,30,2430.0,50,1,2,0,FULL
17361,77,2477.0,50,1,2,0,FULL
19966,2,2402.0,50,1,2,0,FULL
20251,11,2411.0,50,1,2,0,FULL
20472,18,2418.0,50,1,2,0,FULL
22265,75,2475.0,50,1,2,0,FULL
22392,79,2479.0,50,1,2,0,FULL
24871,0,2400.0,50,1,2,0,FULL
25093,7,2407.0,50,1,2,0,FULL
25503,20,2420.0,50,1,2,0,FULL
25724,27,2427.0,50,1,2,0,FULL
25820,30,2430.0,50,1,2,0,FULL
27394,80,2480.0,50,1,2,0,FULL
27489,83,2483.0,50,1,2,0,FULL
30031,6,2406.0,50,1,2,0,FULL
30755,29,2429.0,50,1,2,0,FULL
30851,32,2432.0,50,2,4,0,FULL
30978,36,2436.0,50,3,6,0,FULL
31010,37,2437.0,50,3,6,0,FULL
31043,38,2438.0,50,1,2,0,FULL
31202,43,2443.0,50,1,2,0,FULL
31234,44,2444.0,50,1,2,0,FULL
31644,57,2457.0,50,1,2,0,FULL
31708,59,2459.0,50,1,2,0,FULL
32024,69,2469.0,50,1,2,0,FULL
32308,78,2478.0,50,1,2,0,FULL
32529,85,2485.0,50,1,2,0,FULL
34851,1,2401.0,50,1,2,0,FULL
34947,4,2404.0,50,1,2,0,FULL
35576,24,2424.0,50,1,2,0,FULL
35673,27,2427.0,50,1,2,0,FULL
35800,31,2431.0,50,1,2,0,FULL
37246,77,2477.0,50,1,2,0,FULL
40418,20,2420.0,50,1,2,0,FULL
40513,23,2423.0,50,1,2,0,FULL
40609,26,2426.0,50,1,2,0,FULL
40705,29,2429.0,50,1,2,0,FULL
42183,76,2476.0,50,1,2,0,FULL
42405,83,2483.0,50,1,2,0,FULL
44759,0,2400.0,50,2,4,0,FULL
44791,1,2401.0,50,1,2,0,FULL
44823,2,2402.0,50,2,4,0,FULL
44888,4,2404.0,50,2,4,0,FULL
44920,5,2405.0,50,2,4,0,FULL
44984,7,2407.0,50,1,2,0,FULL
45299,17,2417.0,50,4,8,0,FULL
45332,18,2418.0,50,2,4,0,FULL
45365,19,2419.0,50,2,4,0,FULL
45429,21,2421.0,50,1,2,0,FULL
45524,24,2424.0,50,1,2,0,FULL
45620,27,2427.0,50,1,2,0,FULL
47099,74,2474.0,50,1,2,0,FULL
47195,77,2477.0,50,1,2,0,FULL
47322,81,2481.0,50,1,2,0,FULL
49832,3,2403.0,50,1,2,0,FULL
49928,6,2406.0,50,1,2,0,FULL
50432,22,2422.0,50,1,2,0,FULL
52131,76,2476.0,50,1,2,0,FULL
